,taxon_name,marine
957,Conchoderma virgatum,True
958,Condylactis aurantiaca,True
959,Conger conger,True
960,Conocybe deliquescens,False
961,Conopeum reticulum,True
962,Contarinia squamariae,True
963,Conus canariensis,True
964,Conus genuanus,True
965,Conus pulcher,True
966,Conus ventricosus,True
967,Convolvulus althaeoides,False
968,Convolvulus arvensis,False
969,Convolvulus cantabrica,False
970,Conyza sumatrensis,False
971,Cophopodisma pyrenaea,False
972,Coprinellus micaceus,False
973,Coprinopsis atramentaria,False
974,Coprinopsis picacea,False
975,Coprinus comatus,False
976,Coracias garrulus,False
977,Coragyps atratus,False
978,Corallinaceae,True
979,Corallium rubrum,True
980,Corbicula fluminea,False
981,Cordulegaster boltonii,False
982,Coremacera marginata,False
983,Coreus marginatus,False
984,Coriaria myrtifolia,False
985,Coris julis,True
986,Coris melanura,False
987,Coris monspeliensis,False
988,Corizus hyoscyami,False
989,Cornicularia velutina,False
990,Cornu aspersum,False
991,Cornularia cornucopiae,True
992,Cornus sanguinea,False
993,Coronilla scorpioides,False
994,Coronilla valentina glauca,False
995,Cortaderia selloana,False
996,Corticium candelabrum,True
997,Corvus corax,False
998,Corvus cornix,False
